Language Name,ISO,STATE,LgFly,Translation Status/Need,Strategic Zone,Orgs Involved,TR Org,Population,Pop. Source,"Pop in
2011",Location,#Of translations,OT Tr in progress,Decision Criteria,Translation Status,Status date,NT in Progress,Project location (State & District),"NT Start
Date","OT Start
Date","NT Pub
Date",NT Revised,"First BB 
Pub. Date",Bible revised,NT Script,Cluster,Translators/Facilitators name,Other information,No,"Literacy Rate
in L1","Literacy Rate
in L2","Source on
Literacy (L2)","Second
Language (L2)",GFA,TWR,FEBA,NT,Portions,Jesus Film,Jesus Film Audio,Jesus Film Children,Dayasagar,God Story,Radio Broadcast,,,,,,,,,,
Godwari,gdx,Rajasthan,Indo-Aryan,No Need,West Zone,GR,,3000000,Ethnologue 09,,"Rajasthan [Jhalor, Sirohi, Pali districts]",,,Marwari translation is sufficient,,,,,,,,,,,,Rajasthani cluster,,,133,,,,,,,,,,,,,,,,,,,,,,,,,
"Gondi, Northern",gno,Madhya Pradesh,Dravidian,NT available,Central Zone,"GR, CCC, BSI, IEM, SGM, TWR, WCOI, India Chruch Growth Mission",BSI,1954000,,,"Madhya Pradesh [Betul, Chhindwara, Seoni, Mandla, Balaghat districts]; Maharashtra [Amravati, Wardha, Nagpur, Bhandara, Yavatmal districts]",,,,,,,,,,1996,,,,,Gondi cluster,,,134,1 -5%,25 - 50%,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,
"Gondi, Southern",ggo,Maharashtra,Dravidian,Translation in Progress,Central Zone,"IEM, GR, GFA Radio",SAG/CIC,300000,,,"Maharashtra [southEast Zoneern Yavatmal, southern Chandrapur and southEast Zoneern Garhchiroli districts]; Andhra Pradesh [Adilabad district]; Chhattisgarh",1,,Two translations,,,X,,1993,,,,,,,Gondi cluster,,,135,,25 - 50%,,,x,x,,,,,,,,Yes,,,,,,,,,,,
Gowlan,goj,Maharashtra,Indo-Aryan,Translation in Progress,Central Zone,,TWFTW/NIEA,20179,,,"Maharashtra [Amravati District, and in some cases in the same communities as Korku people]; Madhya Pradesh [Hoshangabad District]. Some reported in northern Karnataka",1,,"High pop, positive attitude toward MT",,,,,,,,,,,,Maharashtra cluster,,,136,,,,,,,,,,,,,,Yes,,,,,,,,,,,
Gowli,gok,Maharashtra,Indo-Aryan,Translation in Progress,Central Zone,GR,OA/NIEA,35000,,,Madhya Pradesh, Maharashtra [Amravati District],1,,"High pop, some parts have higher bilingualism",,,,,2015,,,,,,,Korku cluster,,,137,1%,5 - 15%,,,,,,,,,,,,,,,,,,,,,,
"Great Andamanese, Mixed",gac,Andaman and Nicobar Islands,Andamanese,No Need,South Zone,,,7,Ethnologue 09,,"Andaman and Nicobar [Strait island, about 100 km northEast Zone of Port Blair.]",,,Nearly extinct,,,,,,,,,,,, Andaman,,,138,,,,,,,,,,,,,,,,,,,,,,,,,
Groma,gro,Sikkim,Tibeto-Burman,No Need in India,NEI Zone,,,14000,Ethnologue 09,,Sikkim [North district - Chumbi Valley],,,Language spoken in China,,,,,,,,,,,,Sikkim cluster,,,139,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,guj,Gujarat,Indo-Aryan,Whole Bible Available,West Zone,"GR, IBS, CCC, CNI, FEBA, INT, SGM, BSI, TWR, WBTC, WCOI, GFA Radio",,45715654,Census 2001,,Gujarat, Maharashtra, Rajasthan, Karnataka, Madhya Pradesh,,,,,,,,,,1820,,1823,,,Gujarat,,,140,,70%,,,x,x,,x,,Yes,Yes,Yes,,Yes,Yes,,,,,,
Gujari,gju,Jammu and Kashmir,Indo-Aryan,Translation in Progress,North West Zone,"TWR, GR, YWAM, OM, GFA Radio",OA,811079,Census 2001,,"Jammu and Kashmir [Kukernag, Kangan, Tral, Doru, Pahalgam, Shopian, Kulgam, Handwara, Karnah, Kupwara, Uri Tahsils in Kashmir - border tahsils along the Line of Control in Jammu]; Himachal Pradesh; Uttarakhand;",1,,,,,X,,2016,,,,,,,Pahari cluster,,,141,,5 -15%,,,x,,,,,,,,,,,,,,,,,,,,
"Gurung, Western",gvr,(northern) West Bengal,Tibeto-Burman,NT available,NEI Zone,,BSN,33000,Ethnologue 09,,West Bengal [Darjeeling]. Sikkim. Also possibly in Myanmar,,,,,,,,,,1982,,,,,,,,142,30%,30%,,,x,,,,,Yes,Yes,,,,Yes,,,,,,,,,,
Hadoti,hoj,Rajasthan,Indo-Aryan,Translation in Progress,West Zone,"IEM, GR, CCC, IBT",IEM/IBT,2462867,Census 2001,,"Rajasthan [Kota, Jhalawar, Bundi, Baran districts]; Madhya Pradesh [Gwalior district]",2,,,,,X,,2007,,,,,,,Rajasthani cluster,,,143,,75%,Census 2001,,,,,,x,Yes,,,,,,,,,,,,,,,
Hajong,haj,Meghalaya,Indo-Aryan,Translation in Progress,NEI Zone,"GR, BAP",BAP,63188,Census 2001,,"Meghalaya [West Garo Hills District - western side, West & East Zone Khasi Hills]; Assam [Goalpara and Nagaon districts]; Arunachal Pradesh; West Bengal",1,,,,,X,,2004,,2017,,,,,Northern Dhaka Division Cluster,,,144,,20 - 48%,Census 2001,,,,,,,,,,,Yes,,,,,,,,,,,
Halbi,hlb,Chandigarh,Indo-Aryan,Translation in Progress,Central Zone,"GR, BR, M, BSI",BR/IBT/OA,500000,,,Madhya Pradesh [Balaghat district], Chhattisgarh [open plains in Bastar District], Maharashtra [Gondia district], Orissa [Koraput district], Andhra Pradesh,2,,,,,X,,1987,,,,,,,Madhya Pradesh cluster,,,145,,74%,Census 2001,Chhattisgarhi,,,,,x,Yes,Yes,,,,,,,,,,
Haryanvi,bgc,Haryana,Indo-Aryan,Translation in Progress,North West Zone,"AG, IMS, Brethren, CNI, Methodists, IET",FMPB/OA,7997192,Census 2001,,Haryana, Rajasthan, Punjab, Delhi, Himachal Pradesh, Uttar Pradesh, Karnataka,1,,,NT STAGE 3,,X,,1993,,,,,,,Haryanvi,,,146,,55%,,Hindi,x,x,,,x,Yes,,,,Yes,Yes,,,,
Hindi,hin,Uttar Pradesh,Indo-Aryan,Whole Bible Available,Hindi Zone,"GR, RC, CCC, CNI, FEBA, INT, BSI, SGM, WBTC, TWR, WCOI, GFA Radio",,265526117,Census 2001,,Throughout northern India: Delhi, Uttar Pradesh, Uttarakhand, Rajasthan, Punjab, Madhya Pradesh, northern Bihar, Himachal Pradesh,,,,,,,,,,1811,,1818,,,Hindi cluster,,,147,,,,,x,x,x,x,,Yes,Yes,Yes,Yes,Yes,Yes,,,
Hinduri,hii,Himachal Pradesh,Indo-Aryan,Limited Need,North West Zone,,,29700,Census 2001,,"Himachal Pradesh [Solan district - Ramshahr, Nalagarh and surrounding villages]",,,"Positive attitude to MT, but reported people who have completed 5 std have proficiecy at RPE 4",,,,,,,,,,,,Pahari cluster,,,148,,,,,,,,,,,,,,,,,,,,,,,,,
Hmar,hmr,Assam,Tibeto-Burman,Whole Bible Available,NEI Zone,"NEI ZoneGM, SGM, WPM, IGR, GR, BSI, WCOI",,83404,Census 2001,,"Assam [North Cachar and Cachar districts]; Manipur [south - Tipaimukh, Churachandpur - 35 villages]; Mizoram [Aizawl, Cachar, North Cachar districts]; Tripura",,,,,,,,,,1946,,1968,,,Assam,,,149,,90%,,,,,,x,,,,,,,,,,,,,,,,,
Ho,hoc,Jharkhand,Austro-Asiatic,NT available,East Zone,"GR, IEM, RC, CNI, EMS, SGM, SPG, BSI, TWR, WCOI, GFA Radio",IEM/RC,1037987,Census 2001,,"Jharkhand [mainly in Singhbhum District - Kolhan, Seraikella, Dhalbhum areas]; Orissa [Mayurbhanj and Keonjhar districts]; West Bengal",,,,,,,,2012,,1997,,,,,Jharkhand cluster,,,150,1 -5%,25 - 50%,,,x,x,,x,,Yes,Yes,,,,Yes,,,,,,,,,,
Holiya,hoy,Karnataka,Dravidian,Translation in Progress,South Zone,,TWFTW,641472,Census 2001,,"Madhya Pradesh [Seoni, Balaghat districts]; Maharashtra; Karnataka",1,,Requested by the people,None published,,,,2014,,,,,,,Powari,,,151,1%,5%,,Kannada,,,,,,,,,,,,,,,,,,,,,
Hrangkhul,hra,Assam,Tibeto-Burman,Whole Bible Available,NEI Zone,"GR, PR, SGM, BSI ",,18665,Ethnologue 09,,Assam, Tripura, a few in Manipur and Mizoram,,,,,,,,,,1997,,2006,,,Assam,,,152,1%,,,,,,,x,,,,,,,,,,,,,,,
Hruso,hru,Arunachal Pradesh,Tibeto-Burman,Limited Need,NEI Zone,Catholic churches and schools,WIN,5140,Census 2001,,"Arunachal Pradesh [West Kameng district - Thrizino circle - several villages including Jamiri, Husigaon, Gohainthan, Buragaon, Karangonia, Raindogonia, Yayom, Gijiri, Dijungonia, Tulu, Polatari, Raghupam, Tania, Khuppi, Bhalukpong, Balipho, Palizi; East Zone K",,,,,,X,,2003,,,,,,,Arunachal,,Linguistic analysis completed by Win,153,,48%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Idu,clk,Arunachal Pradesh,Tibeto-Burman,Translation in Progress,NEI Zone,"GR, SGM",TWftW,9350,Census 2001,,Arunachal Pradesh [Dibang Valley District], Assam, West Bengal,1,,,,,X,,2008,,,,,,,Mishmi,,,154,1%,55%,Census 2001,,,,,,,,,,,,,,,,,,,,
Indian Sign Language,ins,Tamil Nadu,Sign language,Translation in Progress,South Zone,"WIN, Few Church planting org",DOORS International,2680000,Ethnologue 09,,All over the country,1,,,"ISL-Malayalam project is completed. It is not the whole Bible. It is selected chapters/stories from Genesis to Revelation in Chronological order. 160 Selected chapters completed in Kerala. Tamil, Telugu and Kannada are in progress. 2016, they are planning to do survey in Bengali, so that they can initiate the work in Bengali language. ",,X,,2008,,,,,,,ISL,,,155,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-Portuguese,idb,Daman and Diu,Creole,Research Need,West Zone,RC ,,4936,Ethnologue 09,,"Daman & Diu; Maharashtra [Korlai near Bombay]; Kerala [a few speakers in Cannanore (Kannur), possibly some in Cochin area]",,,,,,,,,,,,,,,"Creole, Portuguese based",,,156,,,,,,,,,x,,,,,,,,,,,,,,,,
Irula,iru,Tamil Nadu,Dravidian,Translation in Progress,South Zone,"IBT, BIT-LIT",BIT-LIT/IBT,188909,Census 2001,,"Tamil Nadu [Nilgiri, Coimbatore, Periyar districts]; Karnataka; Kerala [Palakkad District - Attapady and Walayar panchayats]; Andhra Pradesh",1,,,BIT-LIT is going to dedicate the NT this year.,,X,,1992,,,,,,,Nilgiris,,,157,1%,20 - 50%,,,,,,,x,Yes,,,,Yes,,,,,,,,,,,
Jad,jda,Uttarakhand,Tibeto-Burman,No Need,North West Zone,,,2000,census 1991,,Uttarakhand [Uttarkashi district - Jadang and Nilang villages in Harsil sub-division in the gorges of the Jad Ganga],,,"Low pop, no monolinguals, Hindi used for all communications",,,,,,,,,,,,HI – Spiti cluster,,,158,,,,,,,,,,,,,,,,,,,,,,,,,
Jangshung,jna,Himachal Pradesh,Tibeto-Burman,Limited Need,North West Zone,,,1990,Ethnologue 09,,"Himachal Pradesh [Kinnaur District - Jangi, Lippa, and Asrang villages in Morang Tahsil]",,,"low pop, Kinnauri cluster",,,,,,,,,,,,Kinnaur,,BMI completed recording of a set of story,159,,,,,,,,,,,,,,,,,,,,,,,,,
Jarawa,anq,Andaman and Nicobar Islands,Andamanese,Limited Need,South Zone,,,250,Ethnologue 09,,"Andaman Islands [interior and south Central Zone Rutland Island, Central Zone interior and south interior South Andaman Island, Middle Andaman Island - west coast]; 70 sq. km. reserve",,,"Low pop, no access to them, what is needed for them?",,,,,,,,,,,,Andaman,,,160,1%,,,,,,,,,,,,,,,,,,,,,,,,
Jaunsari,jns,Uttarakhand,Indo-Aryan,Translation in Progress,North West Zone,"NLCI, GR",NLCI,114733,Census 2001,,"Uttarakhand [Dehra Dun District - Kalsi tahsil, Tiuni tahsil, Chakrata tahsil, Jaunsar-Bawar Division]",1,,,"Gospel of Mark published, Stories and songs are available. Mathew, Luke, Acts and Titus- consultant checking is over ready to be publish Genesis- exegetical checking is over Jesus film is released",,X,,2005,,,,,,,Pahari cluster,,,161,1%,26%,,,,,,,x,,,,,,,,,,,,,,,,
Juang,jun,Odissa,Austro-Asiatic,Translation in Progress,East Zone,Orissa church of God Association (Church planting),WIN/IBT,41339,Census 2001,,"Orissa [southern Keonjhar, northern Angul, and East Zoneern Dhenkanal districts]",2,,,,,X,,1990,,,,,,,,,,162,,21%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Juray,juy,Odissa,Austro-Asiatic,Translation in Progress,East Zone,,TWFTW & NIEA jointly,801096,Ethnologue 09,,Orissa,1,,,,,,,,,,,,,,Sora cluster,,,163,,,,,,,,,,,,,,,,,,,,,,,,,
Kachari,xac,Assam,Tibeto-Burman,Translation in Progress,NEI Zone,PR,BSI,235881,Census 2001,,"Assam [North Cachar District and the Cachar Hills]; Nagaland [Kohima district - Dimapur, Dhansiri administrative circles - 16 villages]",1,,Possibly an alternative name of Bodo,,,X,,NA,,,,,,,Assam,,,164,,81%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Kachchi,kfr,Gujarat,Indo-Aryan,NT available,West Zone,"GR, BSI, TWR",BSI/TSC,823058,Census 2001,,Gujarat [Rann of Kachchh area], Andhra Pradesh, Madhya Pradesh, Uttar Pradesh, Assam, Kerala, Tamil Nadu, Maharashtra, Karnataka, Orissa,,X,,,,,,,2010,2010,,,,,,,,165,,,,,,x,,,x,Yes,Yes,,,,Yes,
Kadar,kej,Kerala,Dravidian,Limited Need,South Zone,,,2713,Census 2001,,"Kerala [Palakkad -Chittoor Taluk, and Thrissur districts]; Tamil Nadu [Coimbatore District]",,,"Low pop, within them they speak MT",,,,,,,,,,,,Palakkad cluster,,,166,,51 - 56%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Kaikadi,kep,Maharashtra,Dravidian,Translation in Progress,Central Zone,GR,TWFTW,23694,Census 2001,,Maharashtra [Jalgaon District], Karnataka,1,,Information is not sufficient to make any decision,,,,,,,,,,,,Konkani cluster,,,167,,,,,,,,,,,,,,,,,,,,,,,,
Kalanadi,wkl,Kerala,Dravidian,No Need,South Zone,,,750,,,Kerala [Wayanad district - southwest],,,"Low pop, lg used only in home domain, young people literate in Malayalam",,,,,,,,,,,,Wayanad cluster,,,168,,,,,,,,,,,,,,,,,,,,,,,,,
Kamar,keq,Chandigarh,Dravidian,Full TR Need,Central Zone,GR,,40000,,,Madhya Pradesh [Rewa district], Chhattisgarh [Raipur district - Dhamtari tahsil], Maharashtra,1,,,,,,,,,,,,,,,,"Stories done, translation started",169,,,,,,,,,,,,,,,,,,,,,,,
Kamta,rkt,(northern) West Bengal,Indo-Aryan,Translation in Progress,NEI Zone,"SAG, IEM, Church of God, Campus Crusade, Viswa Vani, EPIC.",SAG,5000000,Ethnologue 09,,"West Bengal [Jalpaiguri, Uttar Dinajpur, Koch Bihar, Darjeeling districts]; Assam [Dhubri and Kokrajhar districts]; The ethnic group extends into Bongaigaon and Barpeta districts where the language becomes considerably more similar to Assamese",1,,,,,X,,2003,,,,,,,,,,170,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,
Kanashi,xns,Himachal Pradesh,Tibeto-Burman,Full TR Need,North West Zone,,,1400,Ethnologue 09,,"Himachal Pradesh [Kullu District - Kullu Tahsil, glen of the Bios Valley, around the village of Malana (Malani)]",,,"Low pop, high vitality, MLE?",,,,,,,,,,,,Kullu,,,171,,,,,,,,,,,,,,,,,,,,,,,,,
Kanauji,bjj,Uttar Pradesh,Indo-Aryan,Limited Need,Hindi Zone,,,9500000,Ethnologue 09,,"Uttar Pradesh [Kanpur (Rural), Farrukhabad, Etawah, Hardoi, Shahjahanpur, Pilibhit, Mainpuri, Auraiya districts]",,,MT as a bridge to Hindi,,,,,,,,,,,,Uttar Pradesh cluster,,Stories completed, community development initiative in progress, translation to be started by NIEA,172,,60%,Census 2001,,,,,,x,Yes,Yes,,,,,,,,,,,,
Kangri,xnr,Himachal Pradesh,Indo-Aryan,Translation in Progress,North West Zone,SAG,SAG/OA,1122843,Census 2001,,"Himachal Pradesh [Kangra, Hamirpur, Una (northern) Districts]",1,,Serving as reference project,NT STAGE 4,,X,,2002,,,,,,,Pahari cluster,,,173,,70%,,,x,,,,,,,,,Yes,Yes,,,,,,,,,,
Kanikkaran,kev,Kerala,Dravidian,No Need,South Zone,"GR, CSI, Few Independent org",,24803,Census 2001,,"Kerala [Kozhikode, Ernakulam, Kollam districts, Trivandrum district - Neyyattinkara and Nedumangadu tahsils]; Tamil Nadu [Kanniyakumari and Tirunelveli Districts]",,,"Lg shift to Malayalam in Kerala, fluent in Malayalam even in Tamil Nadu",,,,,,,,,,,,Malayalam cluster,,,174,,59 - 80%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Kanjari / Gihari,kft,Uttar Pradesh,Indo-Aryan,Translation in Progress,Hindi Zone,,NIEA/IMB,93207,Census 2001,,"Uttar Pradesh [Aligarh, Farrukhabad, Etawah, Sitapur, Kheri districts]; Rajasthan; Andhra Pradesh; Madhya Pradesh;",,,Nomadic group,,,,,2015,,,,,,,Uttar Pradesh cluster,,,175,,,,,,,,,,,,,,,,,,,,,,,,,
Kannada,kan,Karnataka,Dravidian,Whole Bible Available,South Zone,"GR, IBS, RC, BAS, CCC, CSI, FEBA, INT, SGM, WM, BSI, WBTC, GFA, TWR, WCOI",,37742232,Census 2001,,Karnataka, Andhra Pradesh, Tamil Nadu, Maharashtra,,,,,,,,,,1823,,1831,,,Kannada,,,176,,60%,,,x,x,x,x,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
Karbi,mjw,Assam,Tibeto-Burman,Whole Bible Available,NEI Zone,"GR, PR, ABFMS, SGM, BSI, GFA Radio",BSI,419512,Census 2001,,"Assam [Karbi Anglong District - Mikir and Rengma Hills, Nagaon, Darrang, Marigaon, Sonitpur, Lakhimpur, North Cachar districts]; Arunachal Pradesh [Papumpare district - Balijan circle]; Meghalaya [Jaintia district]; Nagaland [foothills around Dimapur]",,,,,,,,,,1931,,1952,,,Assam,,,177,,54%,Census 2001,,x,,,,,Yes,Yes,,,,Yes,,,,,,,,,,
Kashmiri,kas,Jammu and Kashmir,Indo-Aryan,Whole Bible Available,North West Zone,"GR, RC, CCC, CNI, BSI, GFA Radio",,5395778,Census 2001,,Jammu and Kashmir, Punjab, Uttar Pradesh, Delhi, Kashmir Valley,,,,,,,,,,1821,,1899,,,Pahari cluster,,,178,88%,55%,Census 2001,Urdu,x,x,x,,,Yes,Yes,Yes,,Yes,Yes,,,,,,
Katakari,kfu,Maharashtra,Indo-Aryan,Translation in Progress,Central Zone,,"NIEA (storying)
Beulah (translation)",12000,,,"Maharashtra [Raigad and Thane districts - along the foothills of the Sahayadri Range]; Rajasthan [northwest, Onga, Samicha Parebati, Mubusha, Jhadol police station areas]; Gujarat [Surat, Bharuch, Sabarkantha, Dangs districts]; Dadra & Nagar Haveli [Ambol",1,,"Good vitality, but are they bilingual in Marathi?",,,,,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,
Khaling,klr,Sikkim,Tibeto-Burman,Whole Bible Available,NEI Zone,,NBS,,,,"Darjeeling and Sikkim, scattered",,,Bible is published in 2011 by BSN.,,,,,,,1994,,2011,,,,,,180,,20%,,Nepali,,,,,,,,,,,,,,,,,,,,,
Khamba,kbg,Arunachal Pradesh,Tibeto-Burman,Research Need,NEI Zone,,,346,Census 2001,,"Arunachal Pradesh [West Siang district - Singa circle -Yang Sang Chu valley - Nyering, Nuykkang, Yortung, Mankota, Tashigong villages]",,,Information is not sufficient to make any decision,,,,,,,,,,,,Arunachal,,,181,,,,,,,,,,,,,,,,,,,,,,,,,
Khamti,kht,Assam,Tai-Kadai,Limited Need,NEI Zone,MSEA,MSEA,12890,Census 2001,,"Assam [Lakhimpur District - Barkhamti, Barigaon, Deotola, Tunijan, Sribhuyan, Barpathar, Tipling villages; Dibrugarh district]; Arunachal Pradesh [Siang and Lohit districts - Chakham, Memong, Barpathar, Mime, Kheram, M.Pong, Man Khao villages within the N",,,,,,,,,,,,,,,Tai Kadai cluster,,,182,,73%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Khamyang,ksu,Assam,Tai-Kadai,No Need,NEI Zone,,,10,Ethnologue 09,,Assam [Tinsukia district - Pawoi Mukh village],,,"Less pop, replaced by Assamese",,,,,,,,,,,,Tai Kadai cluster,,,183,,,,,,,,,,,,,,,,,,,,,,,,,
Khandesi,khn,Maharashtra,Indo-Aryan,Translation in Progress,Central Zone,"FMPB, Team Missions, Vishwani, Bhagavath Mission, Pentecostal Mission.",FMPB/OA,17413,Census 2001,,"Maharashtra [Dhule district - Sakri tahsil, Nasik district - Satna tahsil, Nandurbar district - Nandurbar and Shahada tahsils]; Gujarat",1,,,,,X,,2002,,,,,,,,,,184,,,,,x,,,,,Yes,Yes,,,,Yes,,,,,,,,,,
Kharia,khr,Jharkhand,Austro-Asiatic,NT available,East Zone,"BSI, GR, INT, RC, GFA Radio",BSI/IBT,237479,Census 2001,,"Primarily Jharkhand [Ranchi District - Simdega subdivision, Thethaitangar Anchal and Kolebira Anchal in Khunti subdivision; West Singhbhum, East Zone Singhbhum]; also Chhattisgarh [Raigarh, Jashpur, Durg, Bilaspur, Raipur Districts]; Orissa [Sundargarh, Sambal",,,,,,,,,,1992,,,,,Kharia cluster,,,185,,46%,Census 1991,,x,,,,,,,,,,Yes,,,,,,,,,,
Kharia Thar,ksy,(southern) West Bengal,Indo-Aryan,No need,East Zone,,,25000,Ethnologue 09,,"West Bengal [Purulia district - Bundwan, Manbazar, Purulia Muffasil, Puncha, Balrampur, Barabazar, Hura blocks; Bankura district - Raipur, Ranibandh, Indpur blocks, West Medinipur district - Binpur block]; Jharkhand [East Zone Singhbhum district - Potka, Dhalb",,,"Speaks Bangla. But evangelism, social work, SU types necessary.",,,,,,,,,,,,Kharia cluster,,,186,,,,,,,,,,,,,,,,,,,,,,,,,
Khasi,kha,Meghalaya,Austro-Asiatic,Whole Bible Available,NEI Zone,"GR, PR, RC, UBS, CNI, SGM, BSI, WCOI, GFA Radio",,828545,Census 2001,,"Meghalaya [East Zone & West Khasi Hills, Jaintia Hills districts]; Assam [Cachar, Nagaon, North Cachar Hills, Lakhimpur, Kamrup districts]; Manipur; Tripura; West Bengal",,,,,,,,,,1831,,1891,,,Megalaya cluster,,OT Revision is going on,187,,63%,Census 2001,,x,,,x,,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,
Khirwar,kwx,Chandigarh,Dravidian,Translation in Progress,Central Zone,Calvary Gospel Mission,WIN,112160,Census 2001,,Chhattisgarh [Surguja district] at the borders of Madhya Pradesh and Uttar Pradesh,1,,Very vibrant language. Higher population.,,,X,,2010,,,,,,,Gondi,,,188,,,,,,,,,,,,,,,,,,,,,,,,,
Khowar,khw,Jammu and Kashmir,Indo-Aryan,No Need in India,North West Zone,GR,,19200,Ethnologue 09,,Uncertain (http://www.prayway.com/unreached/peoplegroups5/706.html),,,Lg of Pak,,,,,,,,,,,,,,,189,,1 - 20%,,,,,,,,,,,,,,,,,,,,,,,
Kinnauri,kfk,Himachal Pradesh,Tibeto-Burman,Translation in Progress,North West Zone,"FMPB, Victorious Mountain, Karuna Foundation",NLCI/OA,64817,Census 2001,,Himachal Pradesh [Kinnaur and Lahul-Spiti districts -Nichar subdivision - from Chauhra to Sangla and north along the Satluj River to Morang and several villages of the upper Ropa River Valley, Some settled around Shimla and Rampur], Uttar Pradesh, Punjab,,1,,,"Mark, Matthew, Acts books drafted. Luke, Acts, Mathew  consultant check is over and is ready to publish. Trail version of Gospel of Mark is published. Snow Mountain Project. Drafting completed- I&II Corinthians. Drafting going on- Psalms.",,X,,2007,,,,,,,Kinnaur,,,190,,37%,,,x,,,,x,,,,,,Yes,,,,,,
"Kinnauri, Bhoti",nes,Himachal Pradesh,Tibeto-Burman,Limited Need,North West Zone,,,6792,Ethnologue 09,,"Himachal Pradesh [Kinnaur District - Morang Tahsil, upper Kinnauri Satluj River basin where it turns into the Spiti River, Nesang village in Morang Tahsil, Puh village in Puh Tahsil. It may also be spoken in Kuno and Charang villages]",,,Plan for cluster of 8 lgs in Kinnaur district,,,,,,,,,,,,HI – Spiti,,BMI completed recording of a set of story,191,,,,,,,,,,,,,,,,,,,,,,,,,
"Kinnauri, Chitkuli",cik,Himachal Pradesh,Tibeto-Burman,Limited Need,North West Zone,,,1060,Ethnologue 09,,Himachal Pradesh [Kinnaur District - Nichar subdivision - Chitkul and Rakchham villages along the Baspa River in the Sangla Valley],,,"Low pop, Definite need to further clarify",,,,,,,,,,,,Kinnaur,,BMI completed recording of a set of story,192,0.01,,,,,,,,,,,,,,,,,,,,,,,,
"Kinnauri, Pahari",kjo,Himachal Pradesh,Indo-Aryan,Translation in Progress,North West Zone,"FMPB, Victorious Mountain, Karuna Foundation",NLCI,6331,Ethnologue 09,,Himachal Pradesh [spoken by Scheduled Caste communities in villages throughout Kinnaur District],1,,,"Consultant checking over for Luke, Acts, Mathew. Drafting completed for I&II Corinthians. Drafting going on for Psalms. Exegetical Checking is going on for Genesis. Trail version of Gospel of Mark is published. ",,X,,2007,,,,,,,Pahari cluster,,,193,,,,,,,,,,,,,,,,,,,,,,,,,
Kisan,xis,Odissa,,Translation in Progress,East Zone,,WIN,,,,,1,,,,,X,,2012,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,
Koch,kdq,Meghalaya,Tibeto-Burman,Translation in Progress,NEI Zone,SIL,SAG,28578,Census 2001,,"Meghalaya [West Garo Hills District, a few in East Zone Garo Hills] Assam [Goalpara, Dhubri, Kokrajhar, Bongaigaon, Nagaon districts]; Tripura; West Bengal [Jalpaiguri district];",1,,,,,X,,2009,,,,,,,Northern Dhaka Division Cluster,,,195,,75%,,Assamese,,,,,,,,,,,,,,,,,,,,,
Koda,cdz,(southern) West Bengal,Austro-Asiatic,Research Need,East Zone,,,36528,Census 2001,,"West Bengal [Burdwan, Bankura]",,,Information is not sufficient to make any decision,,,,,,,,,,,,"Burdwan, West Bengal",,BMI completed recording of a set of story,196,0%,10%,,Bengali,,,,,,,,,,,,,,,,,,,,,
Kodaku,ksz,Chandigarh,Austro-Asiatic,Translation in Progress,Central Zone,"RC Church, Calvary Gospel Ministries",WIN,27942,Census 2001,,"Chhattisgarh [Surguja district]; Jharkhand [Palamau, Garhwa districts]; Uttar Pradesh [Sonbhadra district]",1,,,,,X,,2006,,,,,,,,,,197,26%,,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Kodava,kfa,Karnataka,Dravidian,Translation in Progress,South Zone,"CSI, New Life, IPC, Independent churches, Gospel Action, Mission Ebenezer Evangelical Church",NLCI/IBT,166187,Census 2001,,"Karnataka [Coorg (Kodagu) District - around Mercara, bordering on Malayalam to the south]",2,X,,The whole NT and Psalms drafted.Consultation checking is over for 23 NT books. No plans have made for publication date.,,X,,2003,,,,,,,Coorg,,,198,,95%,,Kannada,,,,,,,,,,,,,,,,,,,,,
Koireng,nkd,Manipur,Tibeto-Burman,Limited Need,NEI Zone,"SGM, BAP",,1056,Census 2001,,"Manipur [Senapati District - 5 villages in Saikul and Kangpokpi subdivisions, Bishnupur District - 3 villages south of Moirang, Chandel District - 2 villages near Palel]; Nagaland",,,"Less pop, Meitei is the second language. But language vitality is high",,,,,,,,,,,,"Naga, Manipur",,,199,1%,70 - 80%,,Meitei or English,,,,,,,,,,,,,,,,,,,,,
Kok Borok,trp,Tripura,Tibeto-Burman,Whole Bible Available,NEI Zone,"GR, PR, NZB, SGM, BSI, TWR, GFA Radio",,761964,Census 2001,,Tripura, Assam,,,,,,,,,,1976,,1998,,,Tripura Ethnic Cluster,,,200,74%,,Census 2001,,x,x,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,
